Trial,MSE,MAE,R2,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
165,1.6220130920410156,1.0499732494354248,-0.2267286777496338,"[32, 16, 8, 8]",0.3,0.001,0.0001,450,relu,adam,15
166,2.6317012310028076,1.4468530416488647,-0.9903560876846313,"[32, 16, 8, 8]",0.3,0.001,1e-05,450,relu,adam,15
167,11.168805122375488,3.143247365951538,-7.446968078613281,"[32, 16, 8, 8]",0.3,0.0001,0.0001,450,relu,adam,15
168,9.728292465209961,2.910998821258545,-6.357508659362793,"[32, 16, 8, 8]",0.3,0.0001,1e-05,450,relu,adam,15
169,2.2955665588378906,1.2972381114959717,-0.7361372709274292,"[32, 16, 8, 8]",0.2,0.001,0.0001,450,relu,sgd,15
170,1.7764731645584106,1.1708402633666992,-0.34354686737060547,"[32, 16, 8, 8]",0.2,0.001,1e-05,450,relu,sgd,15
171,2.694934129714966,1.3552807569503784,-1.0381789207458496,"[32, 16, 8, 8]",0.2,0.0001,0.0001,450,relu,sgd,15
172,2.0246589183807373,1.238033413887024,-0.5312497615814209,"[32, 16, 8, 8]",0.2,0.0001,1e-05,450,relu,sgd,15
173,2.0498721599578857,1.2418508529663086,-0.550318717956543,"[32, 16, 8, 8]",0.3,0.001,0.0001,450,relu,sgd,15
174,1.7799761295318604,1.1621739864349365,-0.34619617462158203,"[32, 16, 8, 8]",0.3,0.001,1e-05,450,relu,sgd,15
175,2.900644302368164,1.5245996713638306,-1.1937577724456787,"[32, 16, 8, 8]",0.3,0.0001,0.0001,450,relu,sgd,15
176,1.8318909406661987,1.1726528406143188,-0.385459303855896,"[32, 16, 8, 8]",0.3,0.0001,1e-05,450,relu,sgd,15
177,0.8173781633377075,0.7131854891777039,0.3818167448043823,"[32, 16, 8, 8]",0.2,0.001,0.0001,450,tanh,adam,15
178,0.8449901938438416,0.7052196860313416,0.360933780670166,"[32, 16, 8, 8]",0.2,0.001,1e-05,450,tanh,adam,15
179,8.267733573913574,2.721919298171997,-5.252888202667236,"[32, 16, 8, 8]",0.2,0.0001,0.0001,450,tanh,adam,15
180,9.463798522949219,2.8914811611175537,-6.157472133636475,"[32, 16, 8, 8]",0.2,0.0001,1e-05,450,tanh,adam,15
181,0.8454604148864746,0.6759697198867798,0.36057817935943604,"[32, 16, 8, 8]",0.3,0.001,0.0001,450,tanh,adam,15
