Trial,MSE,MAE,R2,Convolutions,Units,Dropout,Learning_Rate,Weight_Decay,Epochs,Activation,Optimizer,Patience
87,3.673490285873413,1.7308979034423828,-3.2759523391723633,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,leaky_relu,adam,20
88,0.5018193125724792,0.5703874826431274,0.4158809781074524,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,leaky_relu,adam,20
89,5.7111358642578125,2.2799525260925293,-5.647777557373047,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,leaky_relu,adam,20
90,7.1208086013793945,2.5190608501434326,-7.288640022277832,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,leaky_relu,adam,20
91,1.0910892486572266,0.8035181164741516,-0.2700307369232178,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,leaky_relu,sgd,20
92,0.6183649897575378,0.635198712348938,0.28022146224975586,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,leaky_relu,sgd,20
93,0.8424025774002075,0.7136002779006958,0.01944112777709961,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,leaky_relu,sgd,20
94,0.6339666247367859,0.6845420002937317,0.26206111907958984,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,leaky_relu,sgd,20
95,0.7100958824157715,0.680169939994812,0.17344647645950317,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,leaky_relu,sgd,20
96,0.6460243463516235,0.6711007952690125,0.24802589416503906,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,leaky_relu,sgd,20
97,0.5843055844306946,0.5946275591850281,0.31986677646636963,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,leaky_relu,sgd,20
98,0.5777243971824646,0.5857011675834656,0.3275272846221924,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,leaky_relu,sgd,20
99,0.6646783947944641,0.6855529546737671,0.22631263732910156,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,leaky_relu,sgd,20
100,0.8148621916770935,0.7509903311729431,0.051498234272003174,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,leaky_relu,sgd,20
101,0.6369032263755798,0.709000289440155,0.2586429715156555,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,leaky_relu,sgd,20
102,0.5815820693969727,0.6449132561683655,0.32303690910339355,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,leaky_relu,sgd,20
103,0.8916842341423035,0.7546430826187134,-0.03792285919189453,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,leaky_relu,sgd,20
104,0.8123784065246582,0.7481613755226135,0.054389357566833496,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,1e-05,250,leaky_relu,sgd,20
105,0.6664139628410339,0.7036506533622742,0.2242923378944397,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,0.0001,250,leaky_relu,sgd,20
106,0.6055887341499329,0.6405450105667114,0.2950931191444397,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0005,1e-05,250,leaky_relu,sgd,20
107,0.4558819830417633,0.5313888192176819,0.46935218572616577,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,0.0001,250,leaky_relu,sgd,20
108,0.7149671912193298,0.6686211824417114,0.16777628660202026,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.0001,1e-05,250,leaky_relu,sgd,20
109,0.5679122805595398,0.6304309964179993,0.3389486074447632,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,0.0001,250,leaky_relu,adamw,20
110,0.7147249579429626,0.7450647950172424,0.16805827617645264,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.001,1e-05,250,leaky_relu,adamw,20
111,0.9809561967849731,0.8215814828872681,-0.14183568954467773,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,0.0001,250,leaky_relu,adamw,20
112,1.0491963624954224,0.8270360231399536,-0.22126734256744385,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0005,1e-05,250,leaky_relu,adamw,20
113,6.231329917907715,2.3550503253936768,-6.253284454345703,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,0.0001,250,leaky_relu,adamw,20
114,5.246535778045654,2.1509692668914795,-5.1069817543029785,"[32, 16, 16]","[48, 24, 16, 8]",0.1,0.0001,1e-05,250,leaky_relu,adamw,20
115,0.5387042760848999,0.5920034646987915,0.3729467988014221,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,0.0001,250,leaky_relu,adamw,20
116,0.5632868409156799,0.6046275496482849,0.34433263540267944,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.001,1e-05,250,leaky_relu,adamw,20
117,2.8165571689605713,1.4697034358978271,-2.278480052947998,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,0.0001,250,leaky_relu,adamw,20
118,0.6929898262023926,0.6642732620239258,0.19335800409317017,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0005,1e-05,250,leaky_relu,adamw,20
119,4.377333164215088,1.850237488746643,-4.0952277183532715,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,0.0001,250,leaky_relu,adamw,20
120,6.665955066680908,2.44818377494812,-6.759189605712891,"[32, 16, 16]","[48, 24, 16, 8]",0.2,0.0001,1e-05,250,leaky_relu,adamw,20
121,0.6443929672241211,0.6389870047569275,0.249924898147583,"[32, 16, 16]","[48, 24, 16, 8]",0.3,0.001,0.0001,250,leaky_relu,adamw,20
